DATE ,RINGBA,, E-Local,,Revenue,,,,,,Google Ads Spend,Raw Call,Cost Per Call,RPC,Telco,Net,Net Profit
,Static,API,Static,API,Ringba Total,Elocal Total,Adjustments,Adjustment (Static),Adjustment (API),Adjustment %,,,,,,,
01/07/2025,$150.57,$124.20,$150.57,$103.20,$274.77,$253.77,$21.00,0.00%,21.00%,7.64%,$169.29,40,$4.23,$6.34,$13.42,$71.06,28.00%
02/07/2025,$17.02,$192.00,$17.02,$225.00,$209.02,$242.02,-$33.00,0.00%,-33.00%,-15.79%,$191.48,51,$3.75,$4.75,$16.90,$33.64,13.90%
07/07/2025,$21.00,$192.00,$0.00,$187.80,$213.00,$187.80,$25.20,21.00%,4.20%,11.83%,$45.53,45,$1.01,$4.17,$16.97,$125.31,66.72%
08/07/2025,$27.00,$136.23,$27.00,$136.23,$163.23,$163.23,$0.00,0.00%,0.00%,0.00%,$172.79,41,$4.21,$3.98,$17.54,-$27.10,-16.60%
09/07/2025,$54.00,$143.40,$27.00,$112.20,$197.40,$139.20,$58.20,27.00%,31.20%,29.48%,$121.24,51,$2.38,$2.73,$23.39,-$5.43,-3.90%
10/07/2025,,$129.06,$0.00,$165.06,$129.06,$165.06,-$36.00,0.00%,-36.00%,-27.89%,$122.19,53,$2.31,$3.11,$17.62,$25.25,15.30%
11/07/2025,$108.00,$348.48,$39.00,$269.88,$456.48,$308.88,$147.60,69.00%,78.60%,32.33%,$371.56,81,$4.59,$3.81,$34.18,-$96.86,-31.36%
14/07/2025,$63.00,$224.28,$0.00,$224.28,$287.28,$224.28,$63.00,63.00%,0.00%,21.93%,$264.52,80,$3.31,$2.80,$27.00,-$67.24,-29.98%
15/07/2025,$147.20,$522.12,$103.20,$397.32,$669.32,$500.52,$168.80,44.00%,124.80%,25.22%,$378.67,77,$4.92,$6.50,$25.00,$96.85,19.35%
16/07/2025,,$160.80,$0.00,$160.80,$160.80,$160.80,$0.00,0.00%,0.00%,0.00%,$106.53,30,$3.55,$5.36,$10.90,$43.37,26.97%
17/07/2025,$77.40,$387.60,$69.00,$327.60,$465.00,$396.60,$68.40,8.40%,60.00%,14.71%,$350.99,57,$6.16,$6.96,$20.83,$24.78,6.25%
18/07/2025,$57.88,$229.50,$15.88,$154.50,$287.38,$170.38,$117.00,42.00%,75.00%,40.71%,$177.78,53,$3.35,$3.21,$18.43,-$25.83,-15.16%
21/07/2025,$27.00,$171.48,$27.00,$129.48,$198.48,$156.48,$42.00,0.00%,42.00%,21.16%,$97.89,29,$3.38,$5.40,$7.93,$50.66,32.37%
22/07/2025,$103.29,$413.40,$103.29,$379.20,$516.69,$482.49,$34.20,0.00%,34.20%,6.62%,$252.18,63,$4.00,$7.66,$20.30,$210.01,43.53%
23/07/2025,$99.60,$210.00,$99.60,$139.80,$309.60,$239.40,$70.20,0.00%,70.20%, ,$212.11,55,$3.86,$4.35,$20.12,$7.17,2.99%
24/07/2025,$260.40,$89.40,$260.40,$113.40,$349.80,$373.80,-$24.00,0.00%,-24.00%,-6.86%,$344.91,44,$7.84,$8.50,$14.54,$14.35,3.84%
25/07/2025,$278.64,$191.64,$282.84,$131.28,$470.28,$414.12,$56.16,-4.20%,60.36%,11.94%,$374.16,45,$8.31,$9.20,$16.05,$23.91,5.77%
28/07/2025,$602.73,$117.00,$527.73,$135.00,$719.73,$662.73,$57.00,75.00%,-18.00%,7.92%,$449.41,39,$11.52,$16.99,$10.73,$202.59,30.57%
29/07/2025,$498.00,$72.00,$453.00,$18.00,$570.00,$471.00,$99.00,45.00%,54.00%,17.37%,$361.20,21,$17.20,$22.43,$6.28,$103.53,21.98%
